# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
2.059270858764648438e+00,1.853394389152526855e+00,1.879017233848571777e+00,1.248120097443461418e-04,8.119915612041950226e-03,8.175351656973361969e-03,0.000000000000000000e+00,1.797488927841186523e-01,1.703817702036758419e-06,1.212221286550629884e-05
2.019399166107177734e+00,1.815208554267883301e+00,1.844531536102294922e+00,1.222404825966805220e-04,8.055597543716430664e-03,8.111268281936645508e-03,0.000000000000000000e+00,1.973746120929718018e-01,1.703817702036758419e-06,1.330969189439201728e-05
1.980040669441223145e+00,1.777425885200500488e+00,1.810518026351928711e+00,1.196961020468734205e-04,7.992184720933437347e-03,8.048062212765216827e-03,0.000000000000000000e+00,2.156295776367187500e-01,1.703817702036758419e-06,1.453953791497042403e-05
1.938448548316955566e+00,1.737587332725524902e+00,1.774859666824340820e+00,1.170132818515412509e-04,7.924363948404788971e-03,7.980467751622200012e-03,0.000000000000000000e+00,2.337530255317687988e-01,1.703817702036758419e-06,1.576049908180721104e-05
1.891679048538208008e+00,1.693077683448791504e+00,1.735335111618041992e+00,1.140159001806750894e-04,7.846299558877944946e-03,7.902625948190689087e-03,0.000000000000000000e+00,2.506777644157409668e-01,1.703817702036758419e-06,1.690068893367424607e-05
1.835945010185241699e+00,1.640554189682006836e+00,1.689154624938964844e+00,1.104788316297344863e-04,7.750214077532291412e-03,7.806780748069286346e-03,0.000000000000000000e+00,2.647527456283569336e-01,1.703817702036758419e-06,1.784888445399701595e-05
1.766471266746520996e+00,1.575829386711120605e+00,1.632903933525085449e+00,1.061201110132969916e-04,7.625750731676816940e-03,7.682601921260356903e-03,0.000000000000000000e+00,2.735146284103393555e-01,1.703817702036758419e-06,1.843916106736287475e-05
1.677082180976867676e+00,1.493538379669189453e+00,1.562377214431762695e+00,1.005784288281574845e-04,7.458427920937538147e-03,7.515587378293275833e-03,0.000000000000000000e+00,2.730605602264404297e-01,1.703817702036758419e-06,1.840860204538330436e-05
1.559692859649658203e+00,1.386689066886901855e+00,1.472422719001770020e+00,9.338295058114454150e-05,7.226933259516954422e-03,7.284452673047780991e-03,0.000000000000000000e+00,2.576143741607666016e-01,1.703817702036758419e-06,1.736809645080938935e-05
1.404877781867980957e+00,1.247097730636596680e+00,1.357787370681762695e+00,8.398254431085661054e-05,6.900681648403406143e-03,6.958617363125085831e-03,0.000000000000000000e+00,2.200131714344024658e-01,1.703817702036758419e-06,1.483504274801816791e-05
