# total,frequency_equation,frequency_initial,physical_equation,physical_initial
3.135575675964355469e+01,1.150786995887756348e+00,1.984788775444030762e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.837508392333984375e+01,9.664152860641479492e-01,1.871093064546585083e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.211600112915039062e+01,1.010055780410766602e+00,2.201544344425201416e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.949327659606933594e+01,9.818756580352783203e-01,1.967452019453048706e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.846721267700195312e+01,8.196400403976440430e-01,2.027081251144409180e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.768601608276367188e+01,8.646465539932250977e-01,1.903955042362213135e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.953870391845703125e+01,7.896781563758850098e-01,2.164192199707031250e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.600696372985839844e+01,7.480664849281311035e-01,1.852629780769348145e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.445591163635253906e+01,6.620693206787109375e-01,1.783521771430969238e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.767746353149414062e+01,6.817704439163208008e-01,2.085976004600524902e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.463668823242187500e+01,5.970250368118286133e-01,1.866643875837326050e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.309717559814453125e+01,5.718082785606384277e-01,1.737909317016601562e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.260361862182617188e+01,5.426400899887084961e-01,1.717721819877624512e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.316639709472656250e+01,4.930700063705444336e-01,1.823569685220718384e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.348560714721679688e+01,4.421623945236206055e-01,1.906398236751556396e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.184053230285644531e+01,4.487226903438568115e-01,1.735330671072006226e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.258008575439453125e+01,4.201930165290832520e-01,1.837815493345260620e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.223925399780273438e+01,3.492016792297363281e-01,1.874723583459854126e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.108359527587890625e+01,3.145151436328887939e-01,1.793844401836395264e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.917690849304199219e+01,2.927463054656982422e-01,1.624944508075714111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.122688102722167969e+01,2.452704608440399170e-01,1.877417564392089844e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.281266212463378906e+01,2.020725011825561523e-01,2.079193741083145142e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.082992172241210938e+01,1.916491091251373291e-01,1.891343146562576294e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.045622825622558594e+01,1.592137664556503296e-01,1.886408925056457520e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.891809654235839844e+01,1.338129639625549316e-01,1.757996678352355957e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.946520614624023438e+01,1.132561117410659790e-01,1.833264529705047607e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.860240364074707031e+01,9.500724822282791138e-02,1.765232980251312256e-01,0.000000000000000000e+00,0.000000000000000000e+00
