# step,train_normalized_mse,val_normalized_mse
1.000000000000000000e+00,5.117702484130859375e-01,3.310996737331152184e-01
1.000000000000000000e+02,6.045672344043850899e-04,1.404031558195129037e-03
2.000000000000000000e+02,2.977406547870486975e-04,3.183069580700248697e-04
3.000000000000000000e+02,1.983357105928007513e-05,2.389039800618775053e-05
4.000000000000000000e+02,9.198212865157984197e-06,9.409108406543964181e-06
5.000000000000000000e+02,7.751492375973612070e-06,5.707540958610480059e-06
6.000000000000000000e+02,6.816043423896189779e-06,4.052156145917251537e-06
7.000000000000000000e+02,2.385874040555790998e-06,3.423556040615949145e-06
8.000000000000000000e+02,3.052843339901301078e-06,2.641384958224080122e-06
9.000000000000000000e+02,2.745728806985425763e-06,2.428059679004945877e-06
1.000000000000000000e+03,1.070210828402196057e-06,3.374879787543250216e-06
1.100000000000000000e+03,2.926004981418373063e-06,1.846173938702122456e-06
1.200000000000000000e+03,1.492517867518472485e-06,1.784690437034441814e-06
1.300000000000000000e+03,2.308679086127085611e-06,1.865451747562474296e-06
1.400000000000000000e+03,9.779691936273593456e-07,1.509657408860221040e-06
1.500000000000000000e+03,8.853803024067019578e-07,1.464283116092701675e-06
1.600000000000000000e+03,1.752278308231325354e-06,1.394079583860729969e-06
1.700000000000000000e+03,1.300704525419860147e-06,1.270568122890836136e-06
1.800000000000000000e+03,8.315045079143601470e-07,1.375293697947199774e-06
1.900000000000000000e+03,1.262184696315671317e-06,1.181067830202664481e-06
2.000000000000000000e+03,1.237229753314750269e-06,1.153907328443892681e-06
2.100000000000000000e+03,1.591626414665370248e-06,1.114466897433885606e-06
2.200000000000000000e+03,1.546385078654566314e-06,1.094811875645973444e-06
2.300000000000000000e+03,1.517514078841486480e-06,1.072056647899444215e-06
2.400000000000000000e+03,2.357114112783165183e-07,1.069642542006477100e-06
2.500000000000000000e+03,1.593841034264187329e-06,1.082723645140504274e-06
2.510000000000000000e+03,1.118656115295380005e-06,nan
2.520000000000000000e+03,9.618742531358748238e-07,nan
2.530000000000000000e+03,7.694228614241183095e-07,nan
2.540000000000000000e+03,6.199916811056027655e-07,nan
2.550000000000000000e+03,5.535516276466978525e-07,nan
2.560000000000000000e+03,5.159363229978453091e-07,nan
2.570000000000000000e+03,4.900731074286568401e-07,nan
2.580000000000000000e+03,4.771296318040185724e-07,nan
2.590000000000000000e+03,4.668304924848598603e-07,nan
2.600000000000000000e+03,4.544250558069506951e-07,nan
2.610000000000000000e+03,4.489349105796236472e-07,nan
2.620000000000000000e+03,4.414269572095008698e-07,nan
2.630000000000000000e+03,4.347163908846596314e-07,nan
2.637000000000000000e+03,nan,3.893990879078046525e-07
