# step,train_normalized_mse,val_normalized_mse
1.000000000000000000e+01,4.295455653391400119e-07,nan
2.000000000000000000e+01,4.291450874660540649e-07,nan
3.000000000000000000e+01,4.288343191660715092e-07,nan
4.000000000000000000e+01,4.283904058155485473e-07,nan
5.000000000000000000e+01,4.281910204184669055e-07,nan
6.000000000000000000e+01,4.279671816931340800e-07,nan
7.000000000000000000e+01,4.278240126609489380e-07,nan
8.000000000000000000e+01,4.277307610323077824e-07,nan
9.000000000000000000e+01,4.275851317459000711e-07,nan
1.000000000000000000e+02,4.274890077482496054e-07,nan
1.100000000000000000e+02,4.273791560649442545e-07,nan
1.200000000000000000e+02,4.273049754033309000e-07,nan
1.300000000000000000e+02,4.272103897307033549e-07,nan
1.400000000000000000e+02,4.271320008797374612e-07,nan
1.500000000000000000e+02,4.270426270380767164e-07,nan
1.600000000000000000e+02,4.269607014606435769e-07,nan
1.700000000000000000e+02,4.268383637651140816e-07,nan
1.800000000000000000e+02,4.267052027273621206e-07,nan
1.900000000000000000e+02,4.265623072541302463e-07,nan
2.000000000000000000e+02,4.265188806584774284e-07,nan
2.100000000000000000e+02,4.264483450810985232e-07,nan
2.200000000000000000e+02,4.263285369177083339e-07,nan
2.300000000000000000e+02,4.262145694156060927e-07,nan
2.400000000000000000e+02,4.261403248051465198e-07,nan
2.500000000000000000e+02,4.261081674172828571e-07,nan
2.600000000000000000e+02,4.219590827858610282e-07,nan
2.700000000000000000e+02,4.176650705289830512e-07,nan
2.800000000000000000e+02,4.133774726966521484e-07,nan
2.900000000000000000e+02,4.082153512996455902e-07,nan
3.000000000000000000e+02,4.006432039460605665e-07,nan
3.100000000000000000e+02,3.934340604416775022e-07,nan
3.200000000000000000e+02,3.886310366851830622e-07,nan
3.300000000000000000e+02,3.833114519125047082e-07,nan
3.400000000000000000e+02,3.727424253696653977e-07,nan
3.500000000000000000e+02,3.681351561368728653e-07,nan
3.600000000000000000e+02,3.642707149253965326e-07,nan
3.700000000000000000e+02,3.618070287814134645e-07,nan
3.800000000000000000e+02,3.594147628405153228e-07,nan
3.900000000000000000e+02,3.528565066801547800e-07,nan
4.000000000000000000e+02,3.486612314418380265e-07,nan
4.100000000000000000e+02,3.373142725138222886e-07,nan
4.200000000000000000e+02,3.312941725397422488e-07,nan
4.300000000000000000e+02,3.255749163599830354e-07,nan
4.400000000000000000e+02,3.218297024432104081e-07,nan
4.500000000000000000e+02,3.137705668621038058e-07,nan
4.600000000000000000e+02,3.060747140182229487e-07,nan
4.700000000000000000e+02,3.036754119278839426e-07,nan
4.800000000000000000e+02,3.017450147524414206e-07,nan
4.900000000000000000e+02,2.963959158108764314e-07,nan
5.000000000000000000e+02,2.930537146283995753e-07,nan
5.100000000000000000e+02,2.862810521975234224e-07,nan
5.200000000000000000e+02,2.824568490211731842e-07,nan
5.300000000000000000e+02,2.820481004306429895e-07,nan
5.400000000000000000e+02,2.841839172873505959e-07,nan
