step,phase_0_adam_1_lbfgs,weighted_pde_residual
1.000000000000000000e+00,0.000000000000000000e+00,1.921551647898620985e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.901722851023874172e+00
3.000000000000000000e+00,0.000000000000000000e+00,1.876109900194076641e+00
4.000000000000000000e+00,0.000000000000000000e+00,1.843555810072223800e+00
5.000000000000000000e+00,0.000000000000000000e+00,1.803404242924460998e+00
6.000000000000000000e+00,0.000000000000000000e+00,1.754776788147553335e+00
7.000000000000000000e+00,0.000000000000000000e+00,1.696657414432899191e+00
8.000000000000000000e+00,0.000000000000000000e+00,1.628040492187226462e+00
9.000000000000000000e+00,0.000000000000000000e+00,1.548075549552425656e+00
1.000000000000000000e+01,0.000000000000000000e+00,1.456267660327725366e+00
1.100000000000000000e+01,0.000000000000000000e+00,1.352785615768020699e+00
1.200000000000000000e+01,0.000000000000000000e+00,1.238767957273700038e+00
1.300000000000000000e+01,0.000000000000000000e+00,1.116686390200393397e+00
1.400000000000000000e+01,0.000000000000000000e+00,9.906625957832377871e-01
1.500000000000000000e+01,0.000000000000000000e+00,8.666737486177278349e-01
1.600000000000000000e+01,0.000000000000000000e+00,7.525205531698805350e-01
1.700000000000000000e+01,0.000000000000000000e+00,6.573043058189345089e-01
1.800000000000000000e+01,0.000000000000000000e+00,5.900674280931846871e-01
1.900000000000000000e+01,0.000000000000000000e+00,5.572096602254795750e-01
2.000000000000000000e+01,0.000000000000000000e+00,5.588143784295975802e-01
2.100000000000000000e+01,0.000000000000000000e+00,5.857637037057933371e-01
2.200000000000000000e+01,0.000000000000000000e+00,6.214480845730855352e-01
2.300000000000000000e+01,0.000000000000000000e+00,6.491669128084840423e-01
2.400000000000000000e+01,0.000000000000000000e+00,6.590828070826706409e-01
2.500000000000000000e+01,0.000000000000000000e+00,6.495299231315903032e-01
2.600000000000000000e+01,0.000000000000000000e+00,6.244483265311584486e-01
2.700000000000000000e+01,0.000000000000000000e+00,5.903261210110595236e-01
2.800000000000000000e+01,0.000000000000000000e+00,5.539740097898944171e-01
2.900000000000000000e+01,0.000000000000000000e+00,5.211424507166393383e-01
3.000000000000000000e+01,0.000000000000000000e+00,4.957496397468815763e-01
3.100000000000000000e+01,0.000000000000000000e+00,4.795819506447976388e-01
3.200000000000000000e+01,0.000000000000000000e+00,4.724043814646421979e-01
3.300000000000000000e+01,0.000000000000000000e+00,4.724093225854563149e-01
3.400000000000000000e+01,0.000000000000000000e+00,4.768751097096384228e-01
3.500000000000000000e+01,0.000000000000000000e+00,4.828672711759091074e-01
3.600000000000000000e+01,0.000000000000000000e+00,4.878284865667725234e-01
3.700000000000000000e+01,0.000000000000000000e+00,4.899596296957349773e-01
3.800000000000000000e+01,0.000000000000000000e+00,4.883715261236759586e-01
3.900000000000000000e+01,0.000000000000000000e+00,4.830491598101617767e-01
4.000000000000000000e+01,0.000000000000000000e+00,4.746917834579820195e-01
4.100000000000000000e+01,0.000000000000000000e+00,4.644821242724033739e-01
4.200000000000000000e+01,0.000000000000000000e+00,4.538198794190037022e-01
4.300000000000000000e+01,0.000000000000000000e+00,4.440456225747487773e-01
4.400000000000000000e+01,0.000000000000000000e+00,4.361847363558098989e-01
4.500000000000000000e+01,0.000000000000000000e+00,4.307515010393721533e-01
4.600000000000000000e+01,0.000000000000000000e+00,4.276601156211397026e-01
4.700000000000000000e+01,0.000000000000000000e+00,4.262795996594451742e-01
4.800000000000000000e+01,0.000000000000000000e+00,4.256358440794746345e-01
4.900000000000000000e+01,0.000000000000000000e+00,4.247141834043749453e-01
5.000000000000000000e+01,0.000000000000000000e+00,4.227744832256976615e-01
5.100000000000000000e+01,0.000000000000000000e+00,4.195826706710696352e-01
5.200000000000000000e+01,0.000000000000000000e+00,4.154893553579466769e-01
5.300000000000000000e+01,0.000000000000000000e+00,4.113265030324642080e-01
5.400000000000000000e+01,0.000000000000000000e+00,4.081278612916688364e-01
5.500000000000000000e+01,0.000000000000000000e+00,4.067127498824009146e-01
5.600000000000000000e+01,0.000000000000000000e+00,4.072404370591507505e-01
5.700000000000000000e+01,0.000000000000000000e+00,4.089720358289217206e-01
5.800000000000000000e+01,0.000000000000000000e+00,4.105496336415254133e-01
5.900000000000000000e+01,0.000000000000000000e+00,4.107921268376140134e-01
6.000000000000000000e+01,0.000000000000000000e+00,4.094153162479399755e-01
6.100000000000000000e+01,0.000000000000000000e+00,4.070771128448590903e-01
6.200000000000000000e+01,0.000000000000000000e+00,4.048187890590915772e-01
6.300000000000000000e+01,0.000000000000000000e+00,4.034098236517426050e-01
6.400000000000000000e+01,0.000000000000000000e+00,4.030051830778841326e-01
6.500000000000000000e+01,0.000000000000000000e+00,4.032147922962834308e-01
6.600000000000000000e+01,0.000000000000000000e+00,4.034335539576555663e-01
6.700000000000000000e+01,0.000000000000000000e+00,4.031909992738862414e-01
6.800000000000000000e+01,0.000000000000000000e+00,4.023461030721595666e-01
6.900000000000000000e+01,0.000000000000000000e+00,4.010829889841886486e-01
7.000000000000000000e+01,0.000000000000000000e+00,3.997625455963972341e-01
7.100000000000000000e+01,0.000000000000000000e+00,3.987243953780543748e-01
7.200000000000000000e+01,0.000000000000000000e+00,3.981301471731241159e-01
7.300000000000000000e+01,0.000000000000000000e+00,3.979099438121516674e-01
7.400000000000000000e+01,0.000000000000000000e+00,3.978265222577495042e-01
7.500000000000000000e+01,0.000000000000000000e+00,3.976149710846502705e-01
7.600000000000000000e+01,0.000000000000000000e+00,3.971186159222560019e-01
7.700000000000000000e+01,0.000000000000000000e+00,3.963492674373413904e-01
7.800000000000000000e+01,0.000000000000000000e+00,3.954505550509633260e-01
7.900000000000000000e+01,0.000000000000000000e+00,3.945998189563025838e-01
8.000000000000000000e+01,0.000000000000000000e+00,3.939106004436153108e-01
8.100000000000000000e+01,0.000000000000000000e+00,3.933855459421704559e-01
8.200000000000000000e+01,0.000000000000000000e+00,3.929344686580034107e-01
8.300000000000000000e+01,0.000000000000000000e+00,3.924372307061186893e-01
8.400000000000000000e+01,0.000000000000000000e+00,3.918126290376025000e-01
8.500000000000000000e+01,0.000000000000000000e+00,3.910576450406852977e-01
8.600000000000000000e+01,0.000000000000000000e+00,3.902406677265253254e-01
8.700000000000000000e+01,0.000000000000000000e+00,3.894566776287839982e-01
8.800000000000000000e+01,0.000000000000000000e+00,3.887711179856712107e-01
8.900000000000000000e+01,0.000000000000000000e+00,3.881844378277138352e-01
9.000000000000000000e+01,0.000000000000000000e+00,3.876375866310707297e-01
9.100000000000000000e+01,0.000000000000000000e+00,3.870540216783032728e-01
9.200000000000000000e+01,0.000000000000000000e+00,3.863898360033429791e-01
9.300000000000000000e+01,0.000000000000000000e+00,3.856580440649124975e-01
